"assembly","election_date","all_votes","all_seats","candidate_party","candidates_fielded","seats_contested_share","seats_won","seats_won_share","win_rate","seats_second","mean_win_MOV_pct","mean_vote_share","party_votes","party_vote_share"
"National",2018-07-25,53072375,270,"Pakistan Tehreek-e-Insaf",243,0.9,115,0.425925925925926,0.473251028806584,88,0.121302458030262,0.335607965020682,16887492,0.318197404958794
"National",2018-07-25,53072375,270,"Pakistan Muslim League (Nawaz)",214,0.792592592592593,64,0.237037037037037,0.299065420560748,59,0.118028568914222,0.260811658362209,12931603,0.243659775919205
"National",2018-07-25,53072375,270,"Pakistan Peoples Party Parliamentarians",247,0.914814814814815,43,0.159259259259259,0.174089068825911,18,0.210814665201071,0.156352537413281,6915079,0.130295261894724
"National",2018-07-25,53072375,270,"Independents",1627,6.02592592592593,14,0.0518518518518519,0.00860479409956976,31,0.125499761974886,0.0204147131788363,6142491,0.115738008709804
"National",2018-07-25,53072375,270,"Muttahidda Majlis-e-Amal Pakistan",188,0.696296296296296,12,0.0444444444444444,0.0638297872340425,25,0.0871886803539587,0.0928309636059276,2569335,0.0484119092088869
"National",2018-07-25,53072375,270,"Muttahida Qaumi Movement Pakistan",34,0.125925925925926,6,0.0222222222222222,0.176470588235294,8,0.0966965551339193,0.134588011417497,731335,0.0137799561447928
"National",2018-07-25,53072375,270,"Balochistan Awami Party",15,0.0555555555555556,4,0.0148148148148148,0.266666666666667,2,0.0709614333008857,0.172758720474011,319348,0.00601721705501214
"National",2018-07-25,53072375,270,"Pakistan Muslim League (Qaid-e-Azam)",15,0.0555555555555556,4,0.0148148148148148,0.266666666666667,0,0.171037802830632,0.152806607567266,517403,0.00974900784070809
"National",2018-07-25,53072375,270,"Balochistan National Party",13,0.0481481481481481,3,0.0111111111111111,0.230769230769231,3,0.167481324686114,0.167817606885124,238812,0.00449974209746596
"National",2018-07-25,53072375,270,"Grand Democratic Alliance",29,0.107407407407407,2,0.00740740740740741,0.0689655172413793,16,0.0268905125694522,0.229653764818598,1193087,0.0224803770323073
"National",2018-07-25,53072375,270,"Jamhoori Wattan Party",4,0.0148148148148148,1,0.0037037037037037,0.25,0,0.0082241051823313,0.0390783870172261,23397,0.000440850819282159
"National",2018-07-25,53072375,270,"Awami Muslim League Pakistan",1,0.0037037037037037,1,0.0037037037037037,1,0,0.11853426896751,0.514808696739801,119362,0.0022490419921852
"National",2018-07-25,53072375,270,"Awami National Party",61,0.225925925925926,1,0.0037037037037037,0.0163934426229508,8,0.000811857390839887,0.0857345712565609,815736,0.0153702561831838
