"assembly","province","election_date","all_votes","all_seats","candidate_party","candidates_fielded","seats_contested_share","seats_won","seats_won_share","win_rate","seats_second","mean_win_MOV_pct","mean_vote_share","party_votes","party_vote_share"
"Provincial","Punjab",2018-07-25,33218101,295,"Pakistan Muslim League (Nawaz)",268,0.908474576271186,130,0.440677966101695,0.485074626865672,98,0.105662491032892,0.348576114056583,10529723,0.316987506299653
"Provincial","Punjab",2018-07-25,33218101,295,"Pakistan Tehreek-e-Insaf",284,0.96271186440678,122,0.413559322033898,0.429577464788732,139,0.0991540456369845,0.350649031392935,11166131,0.336145976556577
"Provincial","Punjab",2018-07-25,33218101,295,"Independents",2262,7.66779661016949,30,0.101694915254237,0.013262599469496,42,0.0978783036329287,0.0244417791274982,6244580,0.18798726634012
"Provincial","Punjab",2018-07-25,33218101,295,"Pakistan Muslim League (Qaid-e-Azam)",8,0.0271186440677966,7,0.023728813559322,0.875,0,0.109023983967401,0.373972849506184,392419,0.0118134085991249
"Provincial","Punjab",2018-07-25,33218101,295,"Pakistan Peoples Party Parliamentarians",237,0.803389830508475,6,0.0203389830508475,0.0253164556962025,12,0.125816238452062,0.0703787823930582,1809137,0.0544623848304875
"Provincial","Punjab",2018-07-25,33218101,295,"Pakistan Aman Party",1,0.00338983050847458,0,0,0,0,NA,0.000315756236185665,30,0.000000903122065888113
"Provincial","Punjab",2018-07-25,33218101,295,"Awam League",1,0.00338983050847458,0,0,0,0,NA,0.000242872476280761,31,0.00000093322613475105
"Provincial","Punjab",2018-07-25,33218101,295,"Pakistan Muslim Alliance",1,0.00338983050847458,0,0,0,0,NA,0.000228692836012482,31,0.00000093322613475105
"Provincial","Punjab",2018-07-25,33218101,295,"National Peace Council Party",1,0.00338983050847458,0,0,0,0,NA,0.000257759313450487,34,0.00000102353834133986
"Provincial","Punjab",2018-07-25,33218101,295,"Paktunkhwa Milli Awami Party",1,0.00338983050847458,0,0,0,0,NA,0.000464881782526993,71,0.00000213738888926853
"Provincial","Punjab",2018-07-25,33218101,295,"Peoples Movement of Pakistan",1,0.00338983050847458,0,0,0,0,NA,0.000513607343934882,79,0.00000237822144017203
"Provincial","Punjab",2018-07-25,33218101,295,"All Pakistan Minority Movement Pakistan",1,0.00338983050847458,0,0,0,0,NA,0.000867456228866819,98,0.00000295019874856784
"Provincial","Punjab",2018-07-25,33218101,295,"Jannat Pakistan Party",2,0.00677966101694915,0,0,0,0,NA,0.000524123709152757,109,0.00000328134350606014
"Provincial","Punjab",2018-07-25,33218101,295,"Islami Jamhoori Ittehad Pakistan",1,0.00338983050847458,0,0,0,0,NA,0.00196304651042653,114,0.00000343186385037483
"Provincial","Punjab",2018-07-25,33218101,295,"Muttahida Qaumi Movement Pakistan",3,0.0101694915254237,0,0,0,0,NA,0.000643849641600805,213,0.0000064121666678056
"Provincial","Punjab",2018-07-25,33218101,295,"Pakistan Tehreek-e-lnsaf (Gulalai)",1,0.00338983050847458,0,0,0,0,NA,0.00152610330331997,220,0.00000662289514984616
"Provincial","Punjab",2018-07-25,33218101,295,"Front National (Pakistan)",1,0.00338983050847458,0,0,0,0,NA,0.00137241147945957,225,0.00000677341549416085
"Provincial","Punjab",2018-07-25,33218101,295,"Jamiat Ulama-e-Islam (Sami)",1,0.00338983050847458,0,0,0,0,NA,0.00202436276580763,230,0.00000692393583847553
"Provincial","Punjab",2018-07-25,33218101,295,"Barabri Party Pakistan",3,0.0101694915254237,0,0,0,0,NA,0.000870876913262205,268,0.00000806789045526714
"Provincial","Punjab",2018-07-25,33218101,295,"Tehreek Tabdili Nizam Pakistan",1,0.00338983050847458,0,0,0,0,NA,0.00355079288314201,279,0.00000839903521275945
"Provincial","Punjab",2018-07-25,33218101,295,"Move On Pakistan",1,0.00338983050847458,0,0,0,0,NA,0.00239205931671342,301,0.00000906132472774407
"Provincial","Punjab",2018-07-25,33218101,295,"Tehreek Jawanan Pakistan",3,0.0101694915254237,0,0,0,0,NA,0.00104407897452184,319,0.00000960319796727694
"Provincial","Punjab",2018-07-25,33218101,295,"Pakistan Awami League",2,0.00677966101694915,0,0,0,0,NA,0.00194648005208977,373,0.0000112288176858755
"Provincial","Punjab",2018-07-25,33218101,295,"Pakistan Muslim League Organization",2,0.00677966101694915,0,0,0,0,NA,0.00154588251122356,386,0.0000116201705810937
"Provincial","Punjab",2018-07-25,33218101,295,"Jamhoori Wattan Party",1,0.00338983050847458,0,0,0,0,NA,0.00365462029037948,404,0.0000121620438206266
"Provincial","Punjab",2018-07-25,33218101,295,"Awami National Party",3,0.0101694915254237,0,0,0,0,NA,0.00130082249209633,408,0.0000122824600960783
"Provincial","Punjab",2018-07-25,33218101,295,"Jamiat Ulema-e-Pakistan (Noorani)",4,0.0135593220338983,0,0,0,0,NA,0.00124776524782241,456,0.0000137274554014993
"Provincial","Punjab",2018-07-25,33218101,295,"Awami Justice Party Pakistan",3,0.0101694915254237,0,0,0,0,NA,0.00135807508806572,501,0.0000150821385003315
"Provincial","Punjab",2018-07-25,33218101,295,"Aam Awam Party",3,0.0101694915254237,0,0,0,0,NA,0.00179874070860553,514,0.0000154734913955497
"Provincial","Punjab",2018-07-25,33218101,295,"Amun Taraqqi Party",5,0.0169491525423729,0,0,0,0,NA,0.000960736485678822,537,0.0000161658849793972
"Provincial","Punjab",2018-07-25,33218101,295,"All Pakistan Muslim League (Jinnah)",1,0.00338983050847458,0,0,0,0,NA,0.00429841743618444,553,0.0000166475500812042
"Provincial","Punjab",2018-07-25,33218101,295,"Saraikistan Democratic Party",2,0.00677966101694915,0,0,0,0,NA,0.00360011875175245,675,0.0000203202464824825
"Provincial","Punjab",2018-07-25,33218101,295,"Mutahidda Qabil Party",1,0.00338983050847458,0,0,0,0,NA,0.0102339382117395,745,0.0000224275313028881
"Provincial","Punjab",2018-07-25,33218101,295,"Mutahidda Ulema Mashaikh Council of Pakistan",3,0.0101694915254237,0,0,0,0,NA,0.00170161382885057,752,0.0000226382597849287
"Provincial","Punjab",2018-07-25,33218101,295,"Aam Admi Tehreek Pakistan",2,0.00677966101694915,0,0,0,0,NA,0.00517200590246451,865,0.0000260400195664406
"Provincial","Punjab",2018-07-25,33218101,295,"Pakistan Falah Party",4,0.0135593220338983,0,0,0,0,NA,0.00246296587124191,1071,0.0000322414577522056
"Provincial","Punjab",2018-07-25,33218101,295,"Mustaqbil Pakistan",4,0.0135593220338983,0,0,0,0,NA,0.00261894202940622,1160,0.000034920719881007
"Provincial","Punjab",2018-07-25,33218101,295,"Pakistan Peoples Party (Shaheed Bhutto)",7,0.023728813559322,0,0,0,0,NA,0.00166036057082648,1247,0.0000375397738720826
"Provincial","Punjab",2018-07-25,33218101,295,"Pakistan Quami Yakjehti Party",9,0.0305084745762712,0,0,0,0,NA,0.00137692552484319,1308,0.0000393761220727217
"Provincial","Punjab",2018-07-25,33218101,295,"Pakistan Freedom Movement",4,0.0135593220338983,0,0,0,0,NA,0.00338869647427515,1325,0.0000398878912433917
"Provincial","Punjab",2018-07-25,33218101,295,"Aam Log Party Pakistan",7,0.023728813559322,0,0,0,0,NA,0.00172223013749182,1372,0.0000413027824799497
"Provincial","Punjab",2018-07-25,33218101,295,"Pakistan Justice and Democratic Party",5,0.0169491525423729,0,0,0,0,NA,0.00308394726753377,2045,0.0000615628208247064
"Provincial","Punjab",2018-07-25,33218101,295,"Pak Sarzameen Party",12,0.0406779661016949,0,0,0,0,NA,0.00177012452071129,2411,0.0000725809100285414
"Provincial","Punjab",2018-07-25,33218101,295,"Sunni Ittehad Council",3,0.0101694915254237,0,0,0,0,NA,0.00765149235674442,2560,0.000077066416289119
"Provincial","Punjab",2018-07-25,33218101,295,"Awami Party Pakistan-S",7,0.023728813559322,0,0,0,0,NA,0.003646864435436,2582,0.0000777287058041036
"Provincial","Punjab",2018-07-25,33218101,295,"Roshan Pakistan League",5,0.0169491525423729,0,0,0,0,NA,0.00573086130931814,3447,0.000103768725370544
"Provincial","Punjab",2018-07-25,33218101,295,"Grand Democratic Alliance",3,0.0101694915254237,0,0,0,0,NA,0.0125621374309118,3528,0.000106207154948442
"Provincial","Punjab",2018-07-25,33218101,295,"Pakistan Rah-e-Haq Party",6,0.0203389830508475,0,0,0,0,NA,0.00657007998566508,4191,0.000126166152604569
"Provincial","Punjab",2018-07-25,33218101,295,"Awami Workers Party",2,0.00677966101694915,0,0,0,0,NA,0.0178908631550042,4688,0.000141127874829449
"Provincial","Punjab",2018-07-25,33218101,295,"National Party",23,0.0779661016949153,0,0,0,0,NA,0.00390201438322637,9637,0.000290112911632125
"Provincial","Punjab",2018-07-25,33218101,295,"Pakistan Tehreek-e-lnsaf (Nazriati)",21,0.0711864406779661,0,0,0,0,NA,0.00501021010446647,13674,0.000411643037631802
"Provincial","Punjab",2018-07-25,33218101,295,"Sunni Tehreek",33,0.111864406779661,0,0,0,0,NA,0.00479821873378534,19072,0.000574144801353937
"Provincial","Punjab",2018-07-25,33218101,295,"Pakistan Kissan Ittehad (Ch. Anwar)",6,0.0203389830508475,0,0,0,0,NA,0.0312686206846861,21003,0.000632275758328268
"Provincial","Punjab",2018-07-25,33218101,295,"All Pakistan Muslim League",50,0.169491525423729,0,0,0,0,NA,0.0044260699280944,23750,0.000714971635494756
"Provincial","Punjab",2018-07-25,33218101,295,"Pakistan Human Party",10,0.0338983050847458,0,0,0,0,NA,0.0350005426071381,37522,0.00112956487187513
"Provincial","Punjab",2018-07-25,33218101,295,"Pakistan National Muslim League",6,0.0203389830508475,0,0,0,0,NA,0.069173032671754,51213,0.0015417196786776
"Provincial","Punjab",2018-07-25,33218101,295,"Pakistan Awami Raj",32,0.108474576271186,0,0,0,2,NA,0.0299095511013514,94257,0.00283751921881386
