"assembly","province","election_date","all_votes","all_seats","candidate_party","candidates_fielded","seats_contested_share","seats_won","seats_won_share","win_rate","seats_second","mean_win_MOV_pct","mean_vote_share","party_votes","party_vote_share"
"Provincial","Sindh",2018-07-25,9991659,128,"Pakistan Peoples Party Parliamentarians",129,1.0078125,75,0.5859375,0.581395348837209,17,0.226754141089711,0.376255735323221,3839388,0.384259310691047
"Provincial","Sindh",2018-07-25,9991659,128,"Pakistan Tehreek-e-Insaf",96,0.75,23,0.1796875,0.239583333333333,30,0.126100220170827,0.19299962475863,1422940,0.142412786505224
"Provincial","Sindh",2018-07-25,9991659,128,"Muttahida Qaumi Movement Pakistan",61,0.4765625,16,0.125,0.262295081967213,15,0.10606366396366,0.163409984618584,773437,0.0774082662348665
"Provincial","Sindh",2018-07-25,9991659,128,"Grand Democratic Alliance",82,0.640625,11,0.0859375,0.134146341463415,37,0.0953068633330108,0.217854764176315,1489082,0.149032508014935
"Provincial","Sindh",2018-07-25,9991659,128,"Tehreek-e-Labbaik Pakistan",65,0.5078125,2,0.015625,0.0307692307692308,5,0.101524660551535,0.0854246943443256,414635,0.0414981135765342
"Provincial","Sindh",2018-07-25,9991659,128,"Muttahidda Majlis-e-Amal Pakistan",108,0.84375,1,0.0078125,0.00925925925925926,7,0.0161089816637315,0.0765330012676662,597654,0.059815291935003
"Provincial","Sindh",2018-07-25,9991659,128,"Move On Pakistan",1,0.0078125,0,0,0,0,NA,0.000258289039028833,19,0.00000190158611297683
"Provincial","Sindh",2018-07-25,9991659,128,"Pakistan Conservative Party",1,0.0078125,0,0,0,0,NA,0.000429495281687548,35,0.00000350292178706259
"Provincial","Sindh",2018-07-25,9991659,128,"Pakistan Citizen Movement",1,0.0078125,0,0,0,0,NA,0.000793464970472697,61,0.00000610509225745194
"Provincial","Sindh",2018-07-25,9991659,128,"Pakistan Tehreek-e-lnsaf (Gulalai)",1,0.0078125,0,0,0,0,NA,0.000724528301886792,72,0.0000072060105333859
"Provincial","Sindh",2018-07-25,9991659,128,"Amun Taraqqi Party",2,0.015625,0,0,0,0,NA,0.000464817237982712,79,0.00000790659489079841
"Provincial","Sindh",2018-07-25,9991659,128,"Pakistan Falah Party",3,0.0234375,0,0,0,0,NA,0.000428144309099324,96,0.00000960801404451453
"Provincial","Sindh",2018-07-25,9991659,128,"Peoples Movement of Pakistan",4,0.03125,0,0,0,0,NA,0.000337478110450171,127,0.0000127106019130557
"Provincial","Sindh",2018-07-25,9991659,128,"Barabri Party Pakistan",1,0.0078125,0,0,0,0,NA,0.00264686495839169,257,0.0000257214542650024
"Provincial","Sindh",2018-07-25,9991659,128,"National Party",1,0.0078125,0,0,0,0,NA,0.00269580567174489,281,0.0000281234577761311
"Provincial","Sindh",2018-07-25,9991659,128,"Tehreek-e-Suba Hazara",1,0.0078125,0,0,0,0,NA,0.00471030801877693,293,0.0000293244595316954
"Provincial","Sindh",2018-07-25,9991659,128,"Paktunkhwa Milli Awami Party",4,0.03125,0,0,0,0,NA,0.00135474966792863,305,0.0000305254612872597
"Provincial","Sindh",2018-07-25,9991659,128,"Pakistan Justice and Democratic Party",5,0.0390625,0,0,0,0,NA,0.00100765190994525,336,0.0000336280491558009
"Provincial","Sindh",2018-07-25,9991659,128,"Pakistan Kissan Ittehad (Ch. Anwar)",5,0.0390625,0,0,0,0,NA,0.00143220163502414,368,0.0000368307205039724
"Provincial","Sindh",2018-07-25,9991659,128,"Pakistan Saraiki Party",1,0.0078125,0,0,0,0,NA,0.00517681784639836,456,0.000045638066711444
"Provincial","Sindh",2018-07-25,9991659,128,"Tehreek Jawanan Pakistan",2,0.015625,0,0,0,0,NA,0.00635495917824905,486,0.0000486405711003548
"Provincial","Sindh",2018-07-25,9991659,128,"Jamiat Ulama-e-Islam (Sami)",1,0.0078125,0,0,0,0,NA,0.0279079173548148,828,0.0000828691211339378
"Provincial","Sindh",2018-07-25,9991659,128,"Balochistan National Party",1,0.0078125,0,0,0,0,NA,0.017057217438267,1137,0.000113794916339719
"Provincial","Sindh",2018-07-25,9991659,128,"Jamiat Ulema-e-Pakistan (Noorani)",7,0.0546875,0,0,0,0,NA,0.0025530472222486,1371,0.000137214450573223
"Provincial","Sindh",2018-07-25,9991659,128,"Awami Workers Party",2,0.015625,0,0,0,0,NA,0.00842796261074561,1393,0.000139416287125091
"Provincial","Sindh",2018-07-25,9991659,128,"Pakistan Muslim League (Sher-e-Bangal)",6,0.046875,0,0,0,0,NA,0.00604276730305957,1706,0.000170742416249394
